StateCode,Division,YearMonth,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX,Wet/Dry Period
28,1,199401,5.61,19.9,1.59,1.59,2.39,1.59,0,1398,1.38,1.18,1,0.89,-0.29,0.32,0.05,10.5,29.3,1
28,1,199402,3.19,24.9,1.55,1.55,0.35,1.55,0,1123,0.26,1.2,1.1,1.28,0.2,0.35,0.15,14.6,35.3,1
28,1,199403,5.89,36,2.16,2.16,2.31,2.16,0,899,1.24,1.06,1.63,1.23,0.69,0.3,0.34,26.7,45.3,1
28,1,199404,3.34,51.4,1.58,1.58,-1.07,1.03,0,408,-0.19,0.69,0.63,1.04,1.01,-0.05,0.4,38.8,64,1
28,1,199405,3.74,57.5,1.29,1.29,-0.39,0.52,10,242,-0.04,-0.23,0.5,1,1.21,0.3,0.4,44.5,70.4,0
28,1,199406,5.36,70.5,1.52,1.52,1.09,1.17,171,6,0.78,0.47,0.21,1.15,1.02,0.6,0.41,58.6,82.3,1
28,1,199407,4.6,75,1.34,1.34,-0.07,0.91,310,0,0.05,0.46,0.27,0.58,0.94,0.93,0.38,64.5,85.5,0
28,1,199408,5.84,68.7,1.71,1.71,1.54,1.71,132,17,0.72,0.47,0.67,0.75,1.13,1.23,0.56,57.9,79.5,1
28,1,199409,3.04,62.6,-0.19,1.35,-0.56,1,30,102,-0.29,0.23,0.17,0.2,0.85,0.81,0.48,51.8,73.5,0
28,1,199410,1.31,51.1,-0.7,0.68,-1.6,-0.52,0,431,-1.3,-1.21,-0.43,-0.17,0.11,0.5,0.47,38.2,64.1,0
28,1,199411,4.28,46.5,-0.64,0.59,-0.05,-0.59,0,555,0.46,-0.53,-0.75,0.03,0.18,0.61,0.29,35.7,57.3,0
28,1,199412,2.68,36.3,-0.91,-0.91,-1.01,-0.91,0,890,-0.61,-0.14,-0.85,-0.49,-0.28,0.38,0.13,26.4,46.3,0
28,1,199501,3.49,32.9,-0.79,-0.79,0.1,-0.79,0,995,0.21,-0.35,-0.03,-0.48,-0.2,0.06,0.21,25.4,40.5,0
28,1,199502,2.38,26.3,-0.95,-0.95,-0.72,-0.95,0,1084,-0.41,-0.26,-0.58,-1.05,-0.28,-0.07,0.14,16.2,36.4,0
28,1,199503,2.21,41.7,-1.58,-1.58,-2.19,-1.58,0,722,-1.06,-1.21,-0.92,-1.31,-0.87,-0.64,-0.22,30.8,52.7,-1
28,1,199504,1.97,47.6,-2.08,-2.08,-2,-2.08,0,522,-1.33,-1.79,-1.68,-1.13,-1.17,-0.85,-0.55,35.2,59.9,-1
28,1,199505,3.2,57.3,-2.15,-2.15,-0.85,-2.15,9,248,-0.35,-1.21,-1.76,-1.71,-1.72,-0.93,-0.42,46.1,68.4,-1
28,1,199506,2.13,68.4,-2.62,-2.62,-2.07,-2.62,118,16,-1.24,-1.13,-1.75,-2,-2.11,-1.41,-0.49,57.3,79.6,-1
28,1,199507,4.76,74.3,-2.48,-2.48,-0.39,-2.48,288,0,0.13,-0.62,-0.74,-1.71,-1.38,-1.33,-0.25,63.6,84.9,-1
28,1,199508,1.17,72.8,-3.43,-3.43,-3.61,-3.43,245,0,-3.09,-1.09,-1.52,-2.18,-2.19,-2,-0.5,59.6,86,-2
28,1,199509,4.11,62.9,-3.19,-3.19,-0.35,-3.19,34,97,0.23,-1.04,-0.78,-1.84,-1.99,-2.03,-0.69,51,74.8,-2
28,1,199510,8.2,55.8,1.27,-1.59,3.82,0.02,7,292,1.73,1.37,0.4,-0.23,-1.01,-0.88,-0.29,43.2,68.4,-1
28,1,199511,5.18,38.3,1.64,-0.92,1.5,1.21,0,801,0.9,1.8,1.56,0.23,-0.57,-0.81,-0.18,29.4,47.1,0
28,1,199512,2.19,27.1,1.05,-1.25,-1.27,0.32,0,1175,-0.95,0.03,1.26,0.25,-0.5,-0.84,-0.31,19.6,34.5,0
28,1,199601,6.88,25.6,2.19,2.19,3.73,2.19,0,1221,1.94,0.83,1.13,0.9,0.34,-0.29,-0.16,16,35.1,1
28,1,199602,2.29,29.3,1.68,1.68,-0.84,1.24,0,1000,-0.5,1.36,0.5,1.55,0.36,-0.31,-0.26,20.3,38.2,1
28,1,199603,4.02,34.5,1.65,1.65,0.43,1.34,0,946,0.23,-0.17,1.16,1.52,0.69,-0.04,-0.44,24,45.1,1
28,1,199604,5.73,48.8,2.04,2.04,1.67,2.04,0,486,1.1,0.86,0.51,1.06,0.95,0.45,-0.23,37.7,59.9,1
28,1,199605,3.42,57,1.62,1.62,-0.62,1.27,8,256,-0.22,0.59,0.56,0.66,1.45,0.46,-0.31,45.4,68.5,1
28,1,199606,4.81,68.4,1.71,1.71,0.78,1.65,118,16,0.53,0.17,0.67,1.16,1.46,0.82,-0.35,57.5,79.3,1
28,1,199607,7.93,69.9,2.68,2.68,3.42,2.68,160,8,1.44,1.28,0.9,1.02,1.33,1.22,-0.05,60.2,79.7,1
28,1,199608,2.64,70.6,1.93,1.93,-1.41,1.28,181,8,-0.87,0.5,0.57,0.7,0.79,1.38,-0.38,60.1,81.2,1
28,1,199609,5.89,64.1,2.22,2.22,1.48,2.13,49,76,0.9,0.12,0.82,0.97,1.3,1.48,-0.07,54.4,73.8,1
28,1,199610,7.52,52.3,3.58,3.58,4.76,3.58,0,394,1.54,1.63,0.94,1.24,1.32,1.48,0.51,41.3,63.3,2
28,1,199611,3.36,38.6,3.15,3.15,-0.19,3.02,0,792,-0.04,1.19,1.4,1.29,1.36,1.37,0.4,29.5,47.6,2
28,1,199612,8.04,36.2,4.22,4.22,4.19,4.22,0,893,2.17,1.55,2,1.92,1.76,1.95,0.89,29.2,43.2,3
28,1,199701,3.41,27.4,0.02,3.8,0.06,3.77,0,1166,0.16,1.63,1.29,1.46,1.58,1.6,0.85,18.9,35.9,2
28,1,199702,1.82,35.6,-0.57,2.84,-1.72,2.08,0,823,-1.01,-0.61,1.1,1.78,1.56,1.56,0.8,25.7,45.4,1
28,1,199703,4.23,38.6,-0.42,2.64,0.29,1.95,0,818,0.35,-0.31,-0.26,1.46,1.66,1.59,0.97,28.7,48.4,1
28,1,199704,3.81,47,-0.4,2.35,-0.07,1.59,0,540,0.11,0.26,-0.26,0.75,1.11,1.35,1.06,35,59.1,1
28,1,199705,3.42,55.5,-0.51,1.96,-0.45,1.01,0,299,-0.22,-0.17,0.03,0.7,1.37,1.35,1.12,43.5,67.5,1
28,1,199706,2.51,66.7,-0.94,1.27,-1.45,-0.19,83,32,-0.89,-0.81,-0.71,-0.77,0.83,1.08,1.18,54.2,79.1,0
28,1,199707,5.97,72.1,-0.48,1.51,1.09,0.44,223,0,0.67,-0.03,-0.22,-0.4,0.4,0.76,1.33,59.4,84.7,1
28,1,199708,4.59,69,-0.33,1.45,0.31,0.5,139,15,0.24,0.5,-0.01,-0.09,0.43,1.01,1.7,57.6,80.4,0
28,1,199709,3.05,62.2,-0.52,1.08,-0.67,-0.06,26,110,-0.29,-0.15,0.2,-0.31,-0.46,0.67,1.51,51,73.4,0
28,1,199710,2.12,52.1,-0.88,-0.88,-1.26,-0.88,0,400,-0.68,-0.84,-0.56,-0.62,-0.74,0,1.02,40.2,63.9,0
28,1,199711,4.12,39.7,0.06,0.06,0.19,-0.73,0,759,0.38,-0.27,-0.55,-0.38,-0.41,0.11,0.92,31.2,48.1,0
28,1,199712,3.99,33.5,0.2,0.2,0.42,-0.51,0,976,0.2,0.33,-0.18,-0.08,-0.38,-0.49,1.05,25.7,41.4,0
28,1,199801,4.01,35.9,0.33,0.33,0.47,0.33,0,902,0.54,0.43,0.52,-0.23,-0.3,-0.41,0.8,28.3,43.5,0
28,1,199802,4.53,37,0.88,0.88,1.75,0.88,0,784,1.14,1.08,0.87,0.07,0.04,-0.01,0.96,28.6,45.5,0
28,1,199803,4.27,41.5,0.8,0.8,0.04,0.8,0,728,0.38,0.95,1.03,0.47,0.33,0.01,1,31.8,51.1,0
28,1,199804,5.63,50.8,1.16,1.16,1.32,1.16,0,426,1.05,0.91,1.24,1.11,0.37,0.23,0.93,38.8,62.8,0
28,1,199805,6.58,62.5,1.57,1.57,1.58,1.57,45,122,1.31,1.56,1.42,1.52,0.86,0.63,1.23,51.5,73.5,1
28,1,199806,6.22,66.7,2.24,2.24,2.49,2.24,83,32,1.13,1.55,1.82,1.96,1.3,1.15,1.36,56.9,76.4,1
28,1,199807,1.84,72.7,-0.76,1.25,-2.28,0.17,239,0,-1.57,-0.18,0.52,1.19,1.14,0.53,0.9,61.3,84.2,0
28,1,199808,2.95,72.8,-1.36,-1.36,-2.04,-1.36,245,0,-0.64,-1.64,-0.58,0.5,0.8,0.32,0.96,61,84.6,0
28,1,199809,2.37,65.8,-1.88,-1.88,-1.99,-1.88,75,51,-0.71,-1.02,-1.93,0.14,0.5,0.29,0.62,54,77.6,-1
28,1,199810,3.12,53.5,-2.14,-2.14,-1.34,-2.14,0,360,-0.1,-0.71,-0.99,-0.33,0.31,0.45,0.23,43.1,63.8,-1
28,1,199811,1.53,42.8,-2.88,-2.88,-2.89,-2.88,0,666,-1.28,-0.95,-1.27,-1.39,-0.29,0.1,0.02,32.1,53.4,-1
28,1,199812,1.02,38.3,-3.85,-3.85,-3.82,-3.85,0,828,-1.89,-2.22,-1.95,-2.53,-0.82,-0.32,-0.57,28.6,48,-2
28,1,199901,7.22,29.4,-2.41,-2.41,3.15,-1.12,0,1104,2.08,0.52,-0.27,-0.99,-0.45,0.13,-0.18,19.7,39.1,-1
28,1,199902,2.78,33.4,-2.25,-2.25,-0.27,-1.06,0,885,-0.06,1.72,0.38,-0.83,-1.01,-0.13,-0.12,23.7,43.1,-1
28,1,199903,5.25,38.2,-1.54,-1.54,1.42,0.16,0,831,0.92,0.64,1.8,0,-1.19,0.02,-0.02,28.2,48.2,-1
28,1,199904,2.4,49.4,-1.98,-1.98,-1.78,-0.93,0,468,-0.91,0.11,-0.05,-0.24,-0.92,-0.48,-0.17,36.8,61.9,-1
28,1,199905,3.34,59.1,-2.08,-2.08,-0.93,-1.33,16,199,-0.27,-0.88,-0.13,0.09,-0.8,-0.98,-0.23,46.7,71.5,-1
28,1,199906,1.15,69.6,-2.96,-2.96,-3.27,-2.96,147,9,-2.7,-1.66,-1.95,0.02,-1.03,-1.72,-0.33,56.8,82.4,-1
28,1,199907,0.89,77.2,-4.15,-4.15,-4.49,-4.15,378,0,-2.35,-3.09,-2.3,-1.95,-1.71,-1.78,-0.87,64.4,90.1,-3
28,1,199908,4.78,72,-4.01,-4.01,-0.87,-4.01,221,0,0.32,-1.2,-1.98,-1.59,-1.21,-1.53,-0.88,60.1,83.8,-3
28,1,199909,11.21,65.5,1.76,-1.84,5.28,0.26,70,55,2.29,1.82,0.9,-0.22,0.6,-0.22,-0.03,55.2,75.8,-1
28,1,199910,3.13,50.9,1.7,-1.53,0.36,0.63,0,437,-0.09,1.84,1.49,-0.05,-0.12,-0.23,0.07,39,62.8,-1
28,1,199911,2.75,46.4,-0.44,-1.81,-1.32,-0.2,0,558,-0.41,-0.42,1.47,-0.07,-0.23,-0.07,-0.1,36.5,56.3,-1
28,1,199912,2.72,35.1,-0.69,-1.93,-0.9,-0.64,0,927,-0.58,-0.79,-0.73,0.23,-0.6,0.2,-0.14,26.6,43.6,-1
28,1,200001,3.11,27.3,-0.71,-1.81,-0.26,-0.63,0,1169,-0.05,-0.51,-0.73,0.89,-0.41,-0.43,-0.19,18.2,36.4,-1
28,1,200002,2.3,32.3,-0.92,-1.91,-0.84,-0.99,0,916,-0.49,-0.51,-0.76,0.81,-0.45,-0.51,-0.41,23,41.5,-1
28,1,200003,3.69,43.8,-1.1,-1.99,-0.83,-1.25,0,657,0.02,-0.34,-0.42,-0.87,-0.02,-0.77,-0.47,32.3,55.3,-1
28,1,200004,3.69,48.2,-1.1,-1.89,-0.33,-1.19,0,504,0.03,0,-0.33,-0.75,0.55,-0.56,-0.65,37.7,58.8,-1
28,1,200005,4.63,60.4,0.03,-1.67,0.08,-0.94,24,167,0.43,0.28,0.21,-0.38,0.68,-0.38,-0.88,49.1,71.8,-1
28,1,200006,5.03,68.2,0.37,-1.16,1.04,-0.13,113,17,0.63,0.66,0.49,0.09,-0.35,0.13,-1.03,57.6,78.7,0
28,1,200007,6.06,69,0.95,0.95,1.85,0.95,136,12,0.71,0.81,0.79,0.43,-0.05,0.83,-0.65,58.7,79.3,0
28,1,200008,5.15,69,1.2,1.2,1.06,1.2,139,15,0.47,0.68,0.77,0.65,0.18,0.87,-0.45,59.4,78.5,0
28,1,200009,4.19,62.4,1.22,1.22,0.43,1.22,28,106,0.27,0.35,0.6,0.7,0.41,0.01,-0.24,51.5,73.2,0
28,1,200010,1.02,52.8,-0.67,-0.67,-2.02,-0.67,0,378,-1.6,-0.82,-0.38,0.24,0.02,-0.28,-0.45,40.7,64.8,0
28,1,200011,3.11,41.4,-0.87,-0.87,-0.79,-0.87,0,708,-0.19,-1.21,-0.84,0.05,0.05,-0.26,-0.32,32.3,50.5,0
28,1,200012,4.6,26.8,-0.42,-0.42,1.07,-0.42,0,1184,0.54,0.17,-0.68,-0.02,0.25,0.05,0.09,17.9,35.8,0
28,1,200101,2.72,27.4,-0.6,-0.6,-0.67,-0.6,0,1166,-0.35,0.15,-0.04,-0.45,0.14,-0.02,-0.29,18.1,36.8,0
28,1,200102,2.58,32.1,-0.69,-0.69,-0.46,-0.69,0,921,-0.23,-0.57,-0.03,-0.78,-0.03,0.01,-0.33,23.3,41,0
28,1,200103,5.62,36.1,0.67,0.67,2.01,0.67,0,896,1.11,0.71,0.35,-0.32,0.06,0.3,-0.3,27.9,44.4,0
28,1,200104,1.95,49.9,-0.76,-0.76,-2.29,-0.76,0,453,-1.35,0.08,-0.15,-0.14,-0.54,0.01,-0.35,38,61.8,0
28,1,200105,3.84,60.4,-0.9,-0.9,-0.63,-0.9,24,167,0.02,-0.86,0.02,-0.08,-0.68,-0.12,-0.36,48.5,72.3,0
28,1,200106,5.77,69,-0.23,-0.23,1.72,0.57,132,12,0.95,0.64,-0.07,0.1,-0.32,-0.06,0.08,57.5,80.5,0
28,1,200107,2.97,69.5,-0.52,-0.52,-0.94,-0.52,149,9,-0.83,0.06,-0.03,-0.17,-0.19,-0.48,0.27,57.6,81.3,0
28,1,200108,3.13,73.9,-1.02,-1.02,-1.65,-1.02,276,0,-0.52,-1.01,-0.33,-0.35,-0.39,-0.74,0.11,62.7,85.2,0
28,1,200109,4.2,63.2,-0.94,-0.94,-0.07,-0.88,37,91,0.27,-0.25,-0.7,-0.63,-0.46,-0.68,-0.56,51,75.3,0
28,1,200110,0.72,53.6,-1.9,-1.9,-3.17,-1.9,0,357,-1.97,-0.95,-1.13,-0.85,-0.88,-0.77,-0.81,40.8,66.4,-1
28,1,200111,1.16,46.7,-2.88,-2.88,-3.55,-2.88,0,549,-1.59,-2.76,-1.59,-1.42,-1.23,-1.22,-0.98,35,58.3,-1
28,1,200112,2.44,39,-3.52,-3.52,-2.81,-3.52,0,806,-0.78,-1.67,-2.69,-2.08,-2,-1.61,-0.92,29.5,48.5,-2
28,1,200201,1.91,34.8,-3.94,-3.94,-2.35,-3.94,0,936,-1.1,-1.3,-2.24,-2.05,-1.74,-1.69,-1,25.9,43.6,-2
28,1,200202,0.85,36.5,-4.57,-4.57,-3.09,-4.57,0,798,-2.7,-2.21,-2.46,-2.72,-2.35,-2.03,-1.13,25.5,47.5,-3
28,1,200203,3.76,40.6,-4.23,-4.23,-0.42,-4.23,0,756,0.07,-1.2,-1.83,-3.09,-2.56,-2.61,-1.16,30.1,51.1,-3
28,1,200204,4.12,52,-3.91,-3.91,-0.35,-3.91,0,390,0.29,0.2,-0.7,-2.16,-2,-1.87,-1.08,40.1,63.9,-2
28,1,200205,5.15,56.9,-3.2,-3.2,0.94,-2.77,8,259,0.68,0.63,0.52,-0.93,-1.78,-1.58,-1.06,45.1,68.7,-2
28,1,200206,5.27,68.5,-2.45,-2.45,1.25,-1.49,120,15,0.74,0.89,0.83,-0.26,-1.62,-1.62,-1.09,56.9,80.2,-1
28,1,200207,1.54,74.7,-3.12,-3.12,-2.75,-3.12,301,0,-1.8,-0.65,-0.2,-0.66,-1.58,-1.75,-1.63,62.9,86.4,-2
28,1,200208,3.93,74.3,-3.28,-3.28,-1.45,-3.28,288,0,-0.07,-1.3,-0.66,-0.25,-1.18,-1.64,-1.82,62.3,86.2,-2
28,1,200209,4.47,66.1,-3.03,-3.03,-0.26,-3.03,80,47,0.38,0.09,-0.81,-0.08,-0.8,-1.71,-1.77,54.4,77.8,-2
28,1,200210,6.81,51.1,1.03,-1.68,3.09,-0.36,0,431,1.32,1.12,0.77,0.43,0.04,-0.74,-1.13,41.4,60.8,-1
28,1,200211,4.69,41.2,1.21,-1.23,0.85,0.42,0,714,0.67,1.35,1.21,0.44,0.55,-0.22,-0.96,32.4,50,0
28,1,200212,4.57,30.8,1.43,-0.75,1.04,1.21,0,1060,0.53,0.77,1.38,0.33,0.69,0.12,-0.87,22.8,38.8,0
28,1,200301,2.77,23.7,1.08,-0.88,-0.62,0.75,0,1280,-0.31,0.16,0.49,0.81,0.54,0.22,-0.82,16.1,31.3,0
28,1,200302,4.25,25.7,1.55,1.55,1.76,1.55,0,1100,0.98,0.35,0.57,1.3,0.57,0.68,-0.66,17.4,34.1,1
28,1,200303,4.36,38.7,1.53,1.53,0.42,1.53,0,815,0.43,0.88,0.52,1.3,0.46,0.77,-0.8,26.8,50.6,1
28,1,200304,2.59,46.7,0.95,0.95,-1.27,0.21,0,549,-0.75,-0.18,0.22,0.46,0.73,0.52,-0.72,36.1,57.3,0
28,1,200305,3.98,56.3,0.84,0.84,-0.04,0.04,6,276,0.1,-0.46,-0.15,0.21,0.89,0.34,-0.76,46.2,66.2,0
28,1,200306,9.29,65.5,2.72,2.72,5.91,2.72,63,48,2.18,1.67,1.18,1.18,1.54,0.89,-0.44,55.7,75.3,1
28,1,200307,3.76,72.8,2.25,2.25,-0.58,1.94,242,0,-0.38,1.36,1.11,1.02,1,1.16,-0.39,61.9,83.6,1
28,1,200308,5.93,73.4,2.36,2.36,1.02,2.36,260,0,0.76,0.25,1.37,0.96,1.05,1.39,-0.13,63.5,83.3,1
28,1,200309,7.89,64.7,3.19,3.19,3.23,3.19,58,67,1.49,1.4,1.04,1.42,1.47,1.65,0.24,55.6,73.8,2
28,1,200310,5.84,50.7,3.93,3.93,3.19,3.93,0,443,1.01,1.7,1.58,1.88,1.81,1.63,0.72,39.5,61.8,2
28,1,200311,4.48,46.3,3.61,3.61,0.27,3.61,0,561,0.56,1.04,1.72,1.97,1.73,1.72,1.01,37.2,55.4,2
28,1,200312,6.12,33.3,4.07,4.07,2.49,4.07,0,983,1.31,1.26,1.47,1.7,1.81,1.82,1.27,25,41.6,3
28,1,200401,2.19,21.8,3.24,3.24,-1.23,2.71,0,1339,-0.81,0.55,0.72,1.73,1.88,1.78,1.24,14.1,29.4,2
28,1,200402,2.42,30.6,2.68,2.68,-0.67,1.84,0,963,-0.38,-0.98,0.28,1.57,1.88,1.59,1.35,21.1,40,1
28,1,200403,2.91,40.9,1.95,1.95,-1.36,0.58,0,747,-0.51,-0.72,-1.22,0.66,1.14,1.43,1.31,31.1,50.7,1
28,1,200404,4.94,50.4,1.98,1.98,0.67,0.85,0,438,0.73,0.19,-0.11,0.42,1.45,1.69,1.31,39.3,61.4,1
28,1,200405,4.64,63.9,1.66,1.66,-0.33,0.43,64,98,0.44,0.74,0.36,0.37,1.36,1.79,1.35,51.9,75.9,1
28,1,200406,3.19,67,1.24,1.24,-0.77,-0.22,88,28,-0.38,0.02,0.31,-0.47,0.62,1.04,1.19,56.2,77.8,0
28,1,200407,8.47,71,2.3,2.3,3.58,1.89,191,0,1.64,0.97,0.93,0.68,0.86,1.65,1.83,61,80.9,1
28,1,200408,4.97,70.9,2.3,2.3,0.7,2.06,190,7,0.4,1.23,0.86,0.81,0.78,1.46,2.01,61.1,80.6,1
28,1,200409,8.67,65.7,3.37,3.37,3.92,3.37,73,52,1.7,1.36,1.82,1.63,1.12,1.45,2.21,55.4,76,2
28,1,200410,1.74,51.9,2.63,2.63,-1.18,2.1,0,406,-0.94,0.89,0.81,1.16,0.99,1.06,1.82,42.1,61.6,1
28,1,200411,4.38,44.7,2.46,2.46,0.3,2,0,609,0.51,-0.32,0.93,1.18,1.16,1.13,1.88,34.9,54.4,1
28,1,200412,3.97,32.8,2.35,2.35,0.43,2,0,998,0.19,0.42,-0.23,1.41,1.25,0.84,1.67,23.9,41.7,1
28,1,200501,4.99,26.7,2.68,2.68,1.73,2.68,0,1187,1.08,0.79,0.88,1.08,1.33,1.17,1.74,18.4,35.1,1
28,1,200502,2.54,31.9,2.24,2.24,-0.51,1.96,0,927,-0.27,0.6,0.54,1.04,1.23,1.19,1.65,22,41.9,1
28,1,200503,4.32,34.7,2.25,2.25,0.74,2.22,0,939,0.41,0.11,0.69,0.23,1.54,1.37,1.67,25.3,44.1,1
28,1,200504,4.88,51.6,2.18,2.18,0.47,2.18,0,402,0.7,0.68,0.41,0.83,1.07,1.33,1.76,38.1,65,1
28,1,200505,1.75,55.5,-0.65,1.3,-1.94,0.37,0,299,-1.38,-0.44,-0.14,0.2,0.68,0.96,1.74,43.4,67.7,0
28,1,200506,3.58,71.4,-0.9,0.85,-0.96,-0.51,196,0,-0.13,-1.13,-0.54,0,-0.15,1.03,1.28,60,82.8,0
